129.129 4  3.040045 4.059596 -0.142212
129.190 4  3.052819 4.019803 -0.142022
129.296 4  3.038255 3.972898 -0.137755
129.297 4  3.047808 4.212864 -0.143153
129.361 4  3.050498 4.322438 -0.141672
129.374 4  3.052904 4.284289 -0.137456
129.422 4  3.055446 4.248727 -0.145707
129.477 4  3.04287 4.204086 -0.1198
129.534 4  3.041926 4.41091 -0.151225
129.615 4  3.05213 4.514837 -0.123654
129.628 4  3.040287 4.466574 -0.139285
129.681 4  3.036784 4.424094 -0.134791
129.724 4  3.04826 4.387491 -0.134379
129.797 4  3.045186 4.344059 -0.137412
129.839 4  3.056131 4.739239 -0.128921
129.870 4  3.0563 4.694952 -0.140984
129.925 4  3.049858 4.643782 -0.121236
129.971 4  3.038622 4.602735 -0.152101
130.026 4  3.059175 4.560225 -0.124445
130.087 4  3.044577 4.931833 -0.134974
130.117 4  3.042774 4.893036 -0.127241
130.191 4  3.04758 4.84321 -0.132687
130.294 4  3.041329 4.789936 -0.117397
130.296 4  3.027392 4.738054 -0.146825
130.386 4  3.047253 5.150346 -0.111807
130.388 4  3.046695 5.097572 -0.12773
130.415 4  3.046527 5.040022 -0.107508
130.463 4  3.053643 4.991656 -0.134989
130.532 4  3.030299 4.933078 -0.110776
130.584 4  3.006867 5.384535 -0.13344
130.614 4  3.01857 5.331131 -0.123522
130.681 4  3.033884 5.277023 -0.128309
130.739 4  3.038368 5.22057 -0.114253
130.787 4  3.041884 5.17258 -0.120779
130.848 4  3.047147 5.442528 -0.131401
130.870 4  3.054529 5.387541 -0.112219
130.918 4  3.05155 5.634357 -0.131786
130.972 4  3.048684 5.583234 -0.12691
131.032 4  3.046102 5.522125 -0.11543
131.120 4  3.053245 2.190854 -0.131103
131.121 4  3.053317 2.133842 -0.112179
131.173 4  3.066119 2.090529 -0.121751
131.297 4  3.055707 2.031196 -0.106175
131.298 4  3.058413 1.999183 -0.123423
131.351 4  3.067147 0.973667 -0.102051
131.365 4  3.066883 0.979551 -0.109297
131.420 4  3.072091 0.994086 -0.10062
131.469 4  3.056546 1.006492 -0.101205
131.543 4  3.068229 1.011176 -0.086622
131.583 4  3.084229 0.571617 -0.083104
131.614 4  3.07688 0.560881 -0.069902
131.671 4  3.077765 0.559391 -0.075559
131.722 4  3.083018 0.553556 -0.075731
131.786 4  3.084534 0.532069 -0.086431
131.871 4  3.078843 0.442985 -0.082562
131.872 4  3.092104 0.413709 -0.08624
131.918 4  3.080171 0.377657 -0.095239
131.965 4  3.080162 0.33733 -0.115181
132.029 4  3.077789 0.287023 -0.100106
132.071 4  3.079072 0.448107 -0.115979
132.118 4  3.070225 0.395868 -0.12285
132.189 4  3.079115 0.338681 -0.112857
132.294 4  3.083478 0.274717 -0.136292
132.295 4  3.071915 0.205114 -0.11555
132.353 4  3.075428 0.540384 -0.125194
132.472 4  3.077719 0.335348 -0.163132
132.517 4  3.07651 0.265135 -0.102357
132.596 4  3.06793 0.734103 -0.161342
132.622 4  3.074139 0.662695 -0.129159
132.676 4  3.063138 0.583721 -0.128375
132.716 4  3.074942 0.527253 -0.129887
132.791 4  3.071109 0.458227 -0.11871
132.833 4  3.071018 0.988363 -0.140811
132.864 4  3.074366 0.927303 -0.1268
132.922 4  3.063797 0.861216 -0.138814
